catalog_rank,common_name,scientific_name,kingdom,category,priority,planned_source,notes,inat_taxon_id,observations_count,iconic_taxon_name,wikipedia_url
52,Bull Thistle,Cirsium vulgare,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,52989,177980,Plantae,http://en.wikipedia.org/wiki/Cirsium_vulgare
53,American Crow,Corvus brachyrhynchos,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,8021,213609,Aves,http://en.wikipedia.org/wiki/American_crow
54,box elder,Acer negundo,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,47726,185384,Plantae,http://en.wikipedia.org/wiki/Acer_negundo
55,Western Fence Lizard,Sceloporus occidentalis,Animalia,reptile,P0,iNaturalist species_counts,iconic_taxon=Reptilia; common species by verifiable photo observations,36204,199388,Reptilia,http://en.wikipedia.org/wiki/Western_fence_lizard
56,Wild Turkey,Meleagris gallopavo,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,906,191147,Aves,http://en.wikipedia.org/wiki/Wild_turkey
57,Mute Swan,Cygnus olor,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,6921,180470,Aves,http://en.wikipedia.org/wiki/Mute_swan
58,Snowy Egret,Egretta thula,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,4940,174468,Aves,http://en.wikipedia.org/wiki/Snowy_egret
59,American Goldfinch,Spinus tristis,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,145310,189811,Aves,http://en.wikipedia.org/wiki/American_goldfinch
60,chicory,Cichorium intybus,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,52913,171788,Plantae,https://en.wikipedia.org/wiki/Chicory
61,Gulf Fritillary,Dione vanillae,Animalia,insect,P0,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,49150,179438,Insecta,http://en.wikipedia.org/wiki/Gulf_fritillary
62,Black-headed Gull,Chroicocephalus ridibundus,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,144510,177290,Aves,http://en.wikipedia.org/wiki/Black-headed_gull
63,creeping thistle,Cirsium arvense,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,60132,171968,Plantae,http://en.wikipedia.org/wiki/Cirsium_arvense
64,Black-crowned Night Heron,Nycticorax nycticorax,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,4981,175040,Aves,http://en.wikipedia.org/wiki/Black-crowned_night_heron
65,red deadnettle,Lamium purpureum,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,55851,167851,Plantae,http://en.wikipedia.org/wiki/Lamium_purpureum
66,Blue Jay,Cyanocitta cristata,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,8229,199378,Aves,http://en.wikipedia.org/wiki/Blue_jay
67,Common Chaffinch,Fringilla coelebs,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,10070,203627,Aves,http://en.wikipedia.org/wiki/Common_chaffinch
68,American pokeweed,Phytolacca americana,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,48599,173105,Plantae,http://en.wikipedia.org/wiki/Phytolacca_americana
69,Common Raven,Corvus corax,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,8010,183414,Aves,http://en.wikipedia.org/wiki/Common_raven
70,White Wagtail,Motacilla alba,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,13695,197073,Aves,http://en.wikipedia.org/wiki/White_wagtail
71,Great-tailed Grackle,Quiscalus mexicanus,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,9607,162795,Aves,https://en.wikipedia.org/wiki/Great-tailed_grackle
72,common ivy,Hedera helix,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,55882,176568,Plantae,http://en.wikipedia.org/wiki/Hedera_helix
73,eastern poison ivy,Toxicodendron radicans,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,58732,165075,Plantae,http://en.wikipedia.org/wiki/Toxicodendron_radicans
74,Eastern Fox Squirrel,Sciurus niger,Animalia,mammal,P0,iNaturalist species_counts,iconic_taxon=Mammalia; common species by verifiable photo observations,46020,164644,Mammalia,http://en.wikipedia.org/wiki/Fox_squirrel
75,Ring-billed Gull,Larus delawarensis,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,4364,165960,Aves,http://en.wikipedia.org/wiki/Ring-billed_gull
76,Red-shouldered Hawk,Buteo lineatus,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,5206,169307,Aves,http://en.wikipedia.org/wiki/Red-shouldered_hawk
77,Common Pill Woodlouse,Armadillidium vulgare,Animalia,invertebrate,P0,iNaturalist species_counts,iconic_taxon=Animalia; common species by verifiable photo observations,56083,157069,Animalia,http://en.wikipedia.org/wiki/Armadillidium_vulgare
78,Eastern Tiger Swallowtail,Papilio glaucus,Animalia,insect,P0,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,60551,157227,Insecta,http://en.wikipedia.org/wiki/Papilio_glaucus
79,fireweed,Chamaenerion angustifolium,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,564969,157057,Plantae,https://en.wikipedia.org/wiki/Chamaenerion_angustifolium
80,Eurasian Coot,Fulica atra,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,482,176634,Aves,http://en.wikipedia.org/wiki/Eurasian_coot
81,Eurasian Magpie,Pica pica,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,891696,175787,Aves,https://en.wikipedia.org/wiki/Eurasian_magpie
82,Cross Orbweaver,Araneus diadematus,Animalia,arachnid,P0,iNaturalist species_counts,iconic_taxon=Arachnida; common species by verifiable photo observations,52628,154254,Arachnida,http://en.wikipedia.org/wiki/Araneus_diadematus
83,Virginia creeper,Parthenocissus quinquefolia,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,50278,157128,Plantae,http://en.wikipedia.org/wiki/Parthenocissus_quinquefolia
84,Brown Anole,Anolis sagrei,Animalia,reptile,P0,iNaturalist species_counts,iconic_taxon=Reptilia; common species by verifiable photo observations,116461,153219,Reptilia,http://en.wikipedia.org/wiki/Brown_anole
85,Lawn daisy,Bellis perennis,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,55563,157369,Plantae,http://en.wikipedia.org/wiki/Bellis_perennis
86,Blue Dasher,Pachydiplax longipennis,Animalia,insect,P0,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,59774,150911,Insecta,https://en.wikipedia.org/wiki/Blue_dasher
87,Eurasian Collared-Dove,Streptopelia decaocto,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,2969,169019,Aves,http://en.wikipedia.org/wiki/Eurasian_collared_dove
88,bird's-foot trefoil,Lotus corniculatus,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,47435,153143,Plantae,http://en.wikipedia.org/wiki/Lotus_corniculatus
89,great stinging nettle,Urtica dioica,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,51884,155757,Plantae,http://en.wikipedia.org/wiki/Urtica_dioica
90,Green Frog,Lithobates clamitans,Animalia,amphibian,P0,iNaturalist species_counts,iconic_taxon=Amphibia; common species by verifiable photo observations,65982,156238,Amphibia,http://en.wikipedia.org/wiki/Lithobates_clamitans
91,American Coot,Fulica americana,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,473,154347,Aves,http://en.wikipedia.org/wiki/American_coot
92,Herb Robert,Geranium robertianum,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,55925,151579,Plantae,https://en.wikipedia.org/wiki/Geranium_robertianum
93,Eastern Bluebird,Sialia sialis,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,12942,152390,Aves,http://en.wikipedia.org/wiki/Eastern_bluebird
94,Cooper's Hawk,Astur cooperii,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,1579017,151089,Aves,https://en.wikipedia.org/wiki/Cooper's_hawk
95,Green Anole,Anolis carolinensis,Animalia,reptile,P0,iNaturalist species_counts,iconic_taxon=Reptilia; common species by verifiable photo observations,36514,146608,Reptilia,http://en.wikipedia.org/wiki/Carolina_anole
96,Common Wood-Pigeon,Columba palumbus,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,3048,177313,Aves,http://en.wikipedia.org/wiki/Common_wood_pigeon
97,European Robin,Erithacus rubecula,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,13094,185530,Aves,http://en.wikipedia.org/wiki/European_robin
98,oxeye daisy,Leucanthemum vulgare,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,56057,148126,Plantae,https://en.wikipedia.org/wiki/Leucanthemum_vulgare
99,White-crowned Sparrow,Zonotrichia leucophrys,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,9176,153141,Aves,http://en.wikipedia.org/wiki/White-crowned_sparrow
100,Garden Snail,Cornu aspersum,Animalia,mollusk,P0,iNaturalist species_counts,iconic_taxon=Mollusca; common species by verifiable photo observations,480298,145191,Mollusca,http://en.wikipedia.org/wiki/Cornu_aspersum
