scientific_name,category,gbif_scientific_name,gbif_class,rank,match_type,confidence,status,usage_key,trusted,issues,error
hippocamelus antisensis,mammal,"Hippocamelus antisensis (d'Orbigny, 1834)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2440980,true,,
hippopotamus amphibius,mammal,"Hippopotamus amphibius Linnaeus, 1758",Mammalia,SPECIES,EXACT,99,ACCEPTED,2441247,true,,
hoploxypterus cayanus,bird,"Hoploxypterus cayanus (Latham, 1790)",Aves,SPECIES,EXACT,99,ACCEPTED,2480250,true,,
horse,,,,,NONE,100,,,false,,
human,,,,,NONE,100,,,false,,
hyaena hyaena,mammal,"Hyaena hyaena (Linnaeus, 1758)",Mammalia,SPECIES,EXACT,99,ACCEPTED,5218777,true,,
hybomys univittatus,mammal,"Hybomys univittatus (Peters, 1876)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2439071,true,,
hydrochoerus hydrochaeris,mammal,"Hydrochoerus hydrochaeris (Linnaeus, 1766)",Mammalia,SPECIES,EXACT,99,ACCEPTED,5786666,true,,
hydrornis cyaneus,bird,"Hydrornis cyaneus (Blyth, 1843)",Aves,SPECIES,EXACT,98,SYNONYM,6101085,true,,
hydrornis oatesi,bird,"Hydrornis oatesi Hume, 1873",Aves,SPECIES,EXACT,98,SYNONYM,6101092,true,,
hylomyscus stella,mammal,"Hylomyscus stella (Thomas, 1911)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2439340,true,,
hylopetes alboniger,mammal,"Hylopetes alboniger (Hodgson, 1836)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2437530,true,,
hypogeomys antimena,mammal,"Hypogeomys antimena A.Grandidier, 1869",Mammalia,SPECIES,EXACT,99,ACCEPTED,2438545,true,,
hystrix africaeaustralis,mammal,"Hystrix africaeaustralis Peters, 1852",Mammalia,SPECIES,EXACT,99,ACCEPTED,5219885,true,,
hystrix brachyura,mammal,"Hystrix brachyura Linnaeus, 1758",Mammalia,SPECIES,EXACT,99,ACCEPTED,5219890,true,,
hystrix cristata,mammal,"Hystrix cristata Linnaeus, 1758",Mammalia,SPECIES,EXACT,99,ACCEPTED,5219888,true,,
ichneumia albicauda,mammal,"Ichneumia albicauda (G.Cuvier, 1829)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2434150,true,,
ictonyx striatus,mammal,"Ictonyx striatus (Perry, 1810)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2433840,true,,
